"","V1","V2","V3","V4"
"157",97734.6032615689,95713.3452660886,98173.0658312419,96681.1855723232
"158",89038.2944308317,107399.018043134,100385.852453252,89723.915780366
"159",97146.5259313366,106917.246255111,102438.537209471,109243.429308635
"160",96914.732535464,98637.0298230388,101867.889964124,108573.500504525
"161",116085.491489793,90144.7925364889,101748.192123693,129474.819345689
"162",114467.739286352,120993.042596894,72114.513354664,96952.7775483714
"163",113061.382306627,102000.498628204,93357.0634078786,125272.86735868
"164",101455.950201595,92175.2049005422,134615.141717036,115544.133407307
"165",102787.924770344,108529.429631613,115102.170767107,90475.9250517922
"166",112593.464354643,105629.26739837,95067.6166977934,92512.5863691427
"167",98732.212371568,100114.751171448,120484.034181373,99456.0386718855
"168",115063.395886609,128626.844799885,110720.481264088,106284.910586481
"169",116538.386687036,74146.0934870908,94424.2617890644,84311.6807529647
"170",112761.428572913,82790.9970893296,95605.2432591997,103818.390331114
"171",89801.1386855161,95851.8347526892,91939.3695664961,109381.622052537
"172",105623.872481818,94111.3366992691,90851.1955914397,84172.5603034649
"173",140834.100233323,88997.0243135804,86979.9615610121,129311.975579694
"174",94622.1846264859,118398.094149919,89884.7507317859,126790.897731324
"175",97976.0411969253,85408.8877648234,97006.8259020067,112916.276800935
"176",113610.624333521,120031.728670594,110915.349053834,102931.879791648
"177",116240.883999552,124142.240422173,102262.777100712,107428.295493509
"178",102466.62263748,110441.561572027,122458.510228365,97593.1211884672
"179",103044.834546015,114991.824523872,108143.662198559,109822.095971962
"180",109810.248414834,94206.2104319387,95760.793365349,121238.481835798
"181",102479.887369145,100931.61787421,112806.553490315,104584.508332583
"182",105735.837501328,105560.425909495,97565.5675441983,93017.6884680595
"183",99456.4452907299,105228.458173301,108200.885656015,87297.4336152902
"184",116250.181899711,92478.6739797261,87749.4781309635,99482.4256626174
"185",93501.9964643678,129255.483989108,102620.897491112,100987.338705559
"186",105387.076394285,86364.2896766026,100206.810170711,99035.5703977832
"187",98219.0136150274,119017.081559601,98843.4299921717,97403.1728746062
"188",97883.037413558,118125.977278323,115011.967830415,107701.51421645
"189",106931.685147661,97959.3931896772,95680.8153565447,103601.732719126
"190",115765.762513542,105763.889722649,93883.7719550116,117631.546886066
"191",104156.503751092,104865.473981105,93799.3289686956,82963.2858617119
"192",117957.047607487,108147.061353803,92705.2911300463,103423.013460799
"193",105975.406256153,108716.218942051,97451.2718332297,114510.58500807
"194",111369.456339074,76209.837832931,118804.637721887,124207.927893459
"195",119783.800778577,101031.945639602,99650.1177765463,98206.4010306168
"196",112010.331212461,97923.9532611828,110045.28929215,93093.3089908932
"197",106766.901359009,110664.253278513,111431.896422095,108733.262178225
"198",110765.608146603,99255.1707097287,93943.944201959,111546.381805227
"199",92234.3713411083,104780.624640569,118990.501328699,101954.213609306
"200",85518.0911253052,97395.9100353423,100910.074285215,91912.873047637
"201",117438.573115371,106756.973225321,104983.687796701,112944.322882191
"202",112286.876378604,105365.997737539,116762.859830166,132621.740798436
"203",96607.5339531412,105491.226654755,103847.42243585,107853.357016161
"204",92841.8127824446,111682.093265795,118499.027553213,95711.4697241411
